Length;Heigth
39119.18098;765.067688
39160.248;765.067688
39189.28677;765.067688
39230.3538;765.067688
39259.39257;765.067688
39288.43134;766.4161987
39329.49837;766.9747314
39370.56539;777.7318115
39411.63241;782.1202393
39440.67119;776.7341919
39469.70996;776.7341919
39498.74873;778.8922729
39527.7875;778.8922729
39556.82627;778.8922729
39597.8933;778.8922729
39638.96032;778.8922729
39667.99909;778.8922729
39697.03787;778.8922729
39726.07664;778.5083618
39755.11541;777.9465332
39784.15418;777.9465332
39813.19295;777.9465332
39842.23172;781.404541
39883.29875;779.8792114
39924.36577;776.3669434
39965.4328;778.1902466
39994.47157;773.6187744
40023.51034;772.1264038
40052.54911;771.532959
40081.58788;771.532959
40122.65491;780.1792603
40163.72193;780.1792603
40192.7607;780.1792603
40233.82773;780.1792603
40274.89475;780.1792603
40315.96178;779.7003784
40357.0288;773.0679321
40386.06757;769.3537598
40427.1346;772.6967773
40468.20162;767.3674316
40497.2404;767.3674316
40538.30742;767.3674316
40567.34619;767.3674316
40596.38496;778.8908691
40637.45199;786.9036255
40666.49076;786.9036255
40695.52953;787.1461182
40724.5683;795.5330811
40765.63533;796.5352783
40794.6741;796.5352783
40823.71287;796.5352783
40852.75164;796.5352783
40893.81867;796.5352783
40934.88569;796.5352783
40975.95272;796.5352783
41004.99149;797.5029907
41046.05851;795.5701294
41087.12554;786.2749023
41128.19256;784.994873
41169.25959;784.994873
41210.32661;784.994873
41251.39364;790.0667114
41292.46066;786.4702759
41333.52769;790.2394409
41362.56646;790.2394409
41403.63348;797.0214844
41444.70051;790.1558838
41485.76753;779.2550049
41514.8063;779.2550049
41543.84507;783.5332031
41584.9121;783.5332031
41625.97912;783.5332031
41655.01789;783.5332031
41696.08492;783.5332031
41737.15194;783.5332031
41766.19072;783.5332031
41795.22949;783.5332031
41824.26826;783.8059692
41865.33528;783.8059692
41894.37406;783.8059692
41935.44108;787.3625488
41976.5081;790.5010986
42005.54688;780.5431519
42034.58565;779.3096313
42063.62442;775.5955811
42092.66319;773.1587524
42133.73022;773.1587524
42162.76899;774.0116577
42203.83601;772.8286743
42244.90304;772.8286743
42273.94181;773.7764282
42315.00883;772.0727539
42356.07586;773.0180664
42397.14288;773.6983643
42438.20991;779.4414063
42479.27693;784.7371216
42520.34396;789.6867676
42549.38273;789.6867676
42590.44975;788.3023682
42631.51678;788.3023682
42672.5838;788.3023682
42713.65083;788.3023682
42754.71785;788.3023682
42783.75662;788.3023682
42812.79539;790.2285156
42841.83417;794.5692139
42870.87294;797.6377563
42899.91171;797.258606
42940.97873;791.008728
42982.04576;791.008728
43023.11278;791.1241455
43064.17981;790.6130371
43093.21858;790.6130371
43122.25735;790.6130371
